date,next,new,total_unemp,men,women,head
2009/7/1,270,85,355,225,138,91
2009/7/2,270,85,355,225,138,91
2009/7/3,270,85,355,225,138,91
2009/7/4,270,85,355,225,138,91
2009/7/5,270,85,355,225,138,91
2009/7/6,270,85,355,225,138,91
2009/7/7,270,85,355,225,138,91
2009/7/8,270,85,355,225,138,91
2009/7/9,270,85,355,225,138,91
2009/7/10,270,85,355,225,138,91
2009/7/11,270,85,355,225,138,91
2009/7/12,270,85,355,225,138,91
2009/7/13,270,85,355,225,138,91
2009/7/14,270,85,355,225,138,91
2009/7/15,270,85,355,225,138,91
2009/7/16,270,85,355,225,138,91
2009/7/17,270,85,355,225,138,91
2009/7/18,270,85,355,225,138,91
2009/7/19,270,85,355,225,138,91
2009/7/20,270,85,355,225,138,91
2009/7/21,270,85,355,225,138,91
2009/7/22,270,85,355,225,138,91
2009/7/23,270,85,355,225,138,91
2009/7/24,270,85,355,225,138,91
2009/7/25,270,85,355,225,138,91
2009/7/26,270,85,355,225,138,91
2009/7/27,270,85,355,225,138,91
2009/7/28,270,85,355,225,138,91
2009/7/29,270,85,355,225,138,91
2009/7/30,270,85,355,225,138,91
2009/7/31,270,85,355,225,138,91
2009/8/1,268,84,352,221,137,88
2009/8/2,268,84,352,221,137,88
2009/8/3,268,84,352,221,137,88
2009/8/4,268,84,352,221,137,88
2009/8/5,268,84,352,221,137,88
2009/8/6,268,84,352,221,137,88
2009/8/7,268,84,352,221,137,88
2009/8/8,268,84,352,221,137,88
2009/8/9,268,84,352,221,137,88
2009/8/10,268,84,352,221,137,88
2009/8/11,268,84,352,221,137,88
2009/8/12,268,84,352,221,137,88
2009/8/13,268,84,352,221,137,88
2009/8/14,268,84,352,221,137,88
2009/8/15,268,84,352,221,137,88
2009/8/16,268,84,352,221,137,88
2009/8/17,268,84,352,221,137,88
2009/8/18,268,84,352,221,137,88
2009/8/19,268,84,352,221,137,88
2009/8/20,268,84,352,221,137,88
2009/8/21,268,84,352,221,137,88
2009/8/22,268,84,352,221,137,88
2009/8/23,268,84,352,221,137,88
2009/8/24,268,84,352,221,137,88
2009/8/25,268,84,352,221,137,88
2009/8/26,268,84,352,221,137,88
2009/8/27,268,84,352,221,137,88
2009/8/28,268,84,352,221,137,88
2009/8/29,268,84,352,221,137,88
2009/8/30,268,84,352,221,137,88
2009/8/31,268,84,352,221,137,88
2009/9/1,261,92,353,214,142,87
2009/9/2,261,92,353,214,142,87
2009/9/3,261,92,353,214,142,87
2009/9/4,261,92,353,214,142,87
2009/9/5,261,92,353,214,142,87
2009/9/6,261,92,353,214,142,87
2009/9/7,261,92,353,214,142,87
2009/9/8,261,92,353,214,142,87
2009/9/9,261,92,353,214,142,87
2009/9/10,261,92,353,214,142,87
2009/9/11,261,92,353,214,142,87
2009/9/12,261,92,353,214,142,87
2009/9/13,261,92,353,214,142,87
2009/9/14,261,92,353,214,142,87
2009/9/15,261,92,353,214,142,87
2009/9/16,261,92,353,214,142,87
2009/9/17,261,92,353,214,142,87
2009/9/18,261,92,353,214,142,87
2009/9/19,261,92,353,214,142,87
2009/9/20,261,92,353,214,142,87
2009/9/21,261,92,353,214,142,87
2009/9/22,261,92,353,214,142,87
2009/9/23,261,92,353,214,142,87
2009/9/24,261,92,353,214,142,87
2009/9/25,261,92,353,214,142,87
2009/9/26,261,92,353,214,142,87
2009/9/27,261,92,353,214,142,87
2009/9/28,261,92,353,214,142,87
2009/9/29,261,92,353,214,142,87
2009/9/30,261,92,353,214,142,87
2009/10/1,255,87,342,207,135,87
2009/10/2,255,87,342,207,135,87
2009/10/3,255,87,342,207,135,87
2009/10/4,255,87,342,207,135,87
2009/10/5,255,87,342,207,135,87
2009/10/6,255,87,342,207,135,87
2009/10/7,255,87,342,207,135,87
2009/10/8,255,87,342,207,135,87
2009/10/9,255,87,342,207,135,87
2009/10/10,255,87,342,207,135,87
2009/10/11,255,87,342,207,135,87
2009/10/12,255,87,342,207,135,87
2009/10/13,255,87,342,207,135,87
2009/10/14,255,87,342,207,135,87
2009/10/15,255,87,342,207,135,87
2009/10/16,255,87,342,207,135,87
2009/10/17,255,87,342,207,135,87
2009/10/18,255,87,342,207,135,87
2009/10/19,255,87,342,207,135,87
2009/10/20,255,87,342,207,135,87
2009/10/21,255,87,342,207,135,87
2009/10/22,255,87,342,207,135,87
2009/10/23,255,87,342,207,135,87
2009/10/24,255,87,342,207,135,87
2009/10/25,255,87,342,207,135,87
2009/10/26,255,87,342,207,135,87
2009/10/27,255,87,342,207,135,87
2009/10/28,255,87,342,207,135,87
2009/10/29,255,87,342,207,135,87
2009/10/30,255,87,342,207,135,87
2009/10/31,255,87,342,207,135,87
2009/11/1,261,82,343,210,137,89
2009/11/2,261,82,343,210,137,89
2009/11/3,261,82,343,210,137,89
2009/11/4,261,82,343,210,137,89
2009/11/5,261,82,343,210,137,89
2009/11/6,261,82,343,210,137,89
2009/11/7,261,82,343,210,137,89
2009/11/8,261,82,343,210,137,89
2009/11/9,261,82,343,210,137,89
2009/11/10,261,82,343,210,137,89
2009/11/11,261,82,343,210,137,89
2009/11/12,261,82,343,210,137,89
2009/11/13,261,82,343,210,137,89
2009/11/14,261,82,343,210,137,89
2009/11/15,261,82,343,210,137,89
2009/11/16,261,82,343,210,137,89
2009/11/17,261,82,343,210,137,89
