datetime0,datetime,search0,search
2010/5/31,2010/7/1,0,0
2010/6/1,2010/7/2,0,0
2010/6/2,2010/7/3,0,0
2010/6/3,2010/7/4,0,0
2010/6/4,2010/7/5,0,0
2010/6/5,2010/7/6,0,0
2010/6/6,2010/7/7,0,0
2010/6/7,2010/7/8,0,0
2010/6/8,2010/7/9,0,0
2010/6/9,2010/7/10,0,0
2010/6/10,2010/7/11,0,0
2010/6/11,2010/7/12,0,0
2010/6/12,2010/7/13,0,0
2010/6/13,2010/7/14,0,0
2010/6/14,2010/7/15,0,0
2010/6/15,2010/7/16,0,0
2010/6/16,2010/7/17,0,0
2010/6/17,2010/7/18,0,0
2010/6/18,2010/7/19,0,0
2010/6/19,2010/7/20,0,0
2010/6/20,2010/7/21,0,0
2010/6/21,2010/7/22,0,0
2010/6/22,2010/7/23,0,0
2010/6/23,2010/7/24,0,0
2010/6/24,2010/7/25,0,0
2010/6/25,2010/7/26,0,0
2010/6/26,2010/7/27,0,0
2010/6/27,2010/7/28,0,0
2010/6/28,2010/7/29,0,0
2010/6/29,2010/7/30,0,0
2010/6/30,2010/7/31,0,0
2010/7/1,2010/8/1,0,0
2010/7/2,2010/8/2,0,0
2010/7/3,2010/8/3,0,0
2010/7/4,2010/8/4,0,0
2010/7/5,2010/8/5,0,0
2010/7/6,2010/8/6,0,0
2010/7/7,2010/8/7,0,0
2010/7/8,2010/8/8,0,0
2010/7/9,2010/8/9,0,0
2010/7/10,2010/8/10,0,0
2010/7/11,2010/8/11,0,0
2010/7/12,2010/8/12,0,0
2010/7/13,2010/8/13,0,0
2010/7/14,2010/8/14,0,0
2010/7/15,2010/8/15,0,0
2010/7/16,2010/8/16,0,0
2010/7/17,2010/8/17,0,0
2010/7/18,2010/8/18,0,0
2010/7/19,2010/8/19,0,0
2010/7/20,2010/8/20,0,0
2010/7/21,2010/8/21,0,0
2010/7/22,2010/8/22,0,0
2010/7/23,2010/8/23,0,0
2010/7/24,2010/8/24,0,0
2010/7/25,2010/8/25,0,0
2010/7/26,2010/8/26,0,0
2010/7/27,2010/8/27,0,0
2010/7/28,2010/8/28,0,0
2010/7/29,2010/8/29,0,0
2010/7/30,2010/8/30,0,0
2010/7/31,2010/8/31,0,0
2010/8/1,2010/9/1,0,0
2010/8/2,2010/9/2,0,0
2010/8/3,2010/9/3,0,0
2010/8/4,2010/9/4,0,0
2010/8/5,2010/9/5,0,0
2010/8/6,2010/9/6,0,0
2010/8/7,2010/9/7,0,0
2010/8/8,2010/9/8,0,0
2010/8/9,2010/9/9,0,0
2010/8/10,2010/9/10,0,0
2010/8/11,2010/9/11,0,0
2010/8/12,2010/9/12,0,0
2010/8/13,2010/9/13,0,0
2010/8/14,2010/9/14,0,0
2010/8/15,2010/9/15,0,0
2010/8/16,2010/9/16,0,0
2010/8/17,2010/9/17,0,0
2010/8/18,2010/9/18,0,0
2010/8/19,2010/9/19,0,0
2010/8/20,2010/9/20,0,0
2010/8/21,2010/9/21,0,0
2010/8/22,2010/9/22,0,0
2010/8/23,2010/9/23,0,0
2010/8/24,2010/9/24,0,0
2010/8/25,2010/9/25,0,0
2010/8/26,2010/9/26,0,0
2010/8/27,2010/9/27,0,0
2010/8/28,2010/9/28,0,0
2010/8/29,2010/9/29,0,0
2010/8/30,2010/9/30,0,0
2010/8/31,2010/10/1,0,70
2010/9/1,2010/10/2,70,70
2010/9/2,2010/10/3,70,70
2010/9/3,2010/10/4,70,70
