date,Saitama_i,Saitama_O,Tiba_i,Tiba_O,Tokyo_i,Tokyo_O,Kanagawa_i,Kanagawa_O,Osaka_i,Osaka_O,Total_i,Total_o
2009/7/1,12066,5234,10333,4934,31418,12549,17016,6589,18810,11680,89643,40986
2009/7/2,12066,5234,10333,4934,31418,12549,17016,6589,18810,11680,89643,40986
2009/7/3,12066,5234,10333,4934,31418,12549,17016,6589,18810,11680,89643,40986
2009/7/4,12066,5234,10333,4934,31418,12549,17016,6589,18810,11680,89643,40986
2009/7/5,12066,5234,10333,4934,31418,12549,17016,6589,18810,11680,89643,40986
2009/7/6,12066,5234,10333,4934,31418,12549,17016,6589,18810,11680,89643,40986
2009/7/7,12066,5234,10333,4934,31418,12549,17016,6589,18810,11680,89643,40986
2009/7/8,12066,5234,10333,4934,31418,12549,17016,6589,18810,11680,89643,40986
2009/7/9,12066,5234,10333,4934,31418,12549,17016,6589,18810,11680,89643,40986
2009/7/10,12066,5234,10333,4934,31418,12549,17016,6589,18810,11680,89643,40986
2009/7/11,12066,5234,10333,4934,31418,12549,17016,6589,18810,11680,89643,40986
2009/7/12,12066,5234,10333,4934,31418,12549,17016,6589,18810,11680,89643,40986
2009/7/13,12066,5234,10333,4934,31418,12549,17016,6589,18810,11680,89643,40986
2009/7/14,12066,5234,10333,4934,31418,12549,17016,6589,18810,11680,89643,40986
2009/7/15,12066,5234,10333,4934,31418,12549,17016,6589,18810,11680,89643,40986
2009/7/16,12066,5234,10333,4934,31418,12549,17016,6589,18810,11680,89643,40986
2009/7/17,12066,5234,10333,4934,31418,12549,17016,6589,18810,11680,89643,40986
2009/7/18,12066,5234,10333,4934,31418,12549,17016,6589,18810,11680,89643,40986
2009/7/19,12066,5234,10333,4934,31418,12549,17016,6589,18810,11680,89643,40986
2009/7/20,12066,5234,10333,4934,31418,12549,17016,6589,18810,11680,89643,40986
2009/7/21,12066,5234,10333,4934,31418,12549,17016,6589,18810,11680,89643,40986
2009/7/22,12066,5234,10333,4934,31418,12549,17016,6589,18810,11680,89643,40986
2009/7/23,12066,5234,10333,4934,31418,12549,17016,6589,18810,11680,89643,40986
2009/7/24,12066,5234,10333,4934,31418,12549,17016,6589,18810,11680,89643,40986
2009/7/25,12066,5234,10333,4934,31418,12549,17016,6589,18810,11680,89643,40986
2009/7/26,12066,5234,10333,4934,31418,12549,17016,6589,18810,11680,89643,40986
2009/7/27,12066,5234,10333,4934,31418,12549,17016,6589,18810,11680,89643,40986
2009/7/28,12066,5234,10333,4934,31418,12549,17016,6589,18810,11680,89643,40986
2009/7/29,12066,5234,10333,4934,31418,12549,17016,6589,18810,11680,89643,40986
2009/7/30,12066,5234,10333,4934,31418,12549,17016,6589,18810,11680,89643,40986
2009/7/31,12066,5234,10333,4934,31418,12549,17016,6589,18810,11680,89643,40986
2009/8/1,10937,5359,8947,4752,29122,12593,16050,6614,17771,11399,82827,40717
2009/8/2,10937,5359,8947,4752,29122,12593,16050,6614,17771,11399,82827,40717
2009/8/3,10937,5359,8947,4752,29122,12593,16050,6614,17771,11399,82827,40717
2009/8/4,10937,5359,8947,4752,29122,12593,16050,6614,17771,11399,82827,40717
2009/8/5,10937,5359,8947,4752,29122,12593,16050,6614,17771,11399,82827,40717
2009/8/6,10937,5359,8947,4752,29122,12593,16050,6614,17771,11399,82827,40717
2009/8/7,10937,5359,8947,4752,29122,12593,16050,6614,17771,11399,82827,40717
2009/8/8,10937,5359,8947,4752,29122,12593,16050,6614,17771,11399,82827,40717
2009/8/9,10937,5359,8947,4752,29122,12593,16050,6614,17771,11399,82827,40717
2009/8/10,10937,5359,8947,4752,29122,12593,16050,6614,17771,11399,82827,40717
2009/8/11,10937,5359,8947,4752,29122,12593,16050,6614,17771,11399,82827,40717
2009/8/12,10937,5359,8947,4752,29122,12593,16050,6614,17771,11399,82827,40717
2009/8/13,10937,5359,8947,4752,29122,12593,16050,6614,17771,11399,82827,40717
2009/8/14,10937,5359,8947,4752,29122,12593,16050,6614,17771,11399,82827,40717
2009/8/15,10937,5359,8947,4752,29122,12593,16050,6614,17771,11399,82827,40717
2009/8/16,10937,5359,8947,4752,29122,12593,16050,6614,17771,11399,82827,40717
2009/8/17,10937,5359,8947,4752,29122,12593,16050,6614,17771,11399,82827,40717
2009/8/18,10937,5359,8947,4752,29122,12593,16050,6614,17771,11399,82827,40717
2009/8/19,10937,5359,8947,4752,29122,12593,16050,6614,17771,11399,82827,40717
2009/8/20,10937,5359,8947,4752,29122,12593,16050,6614,17771,11399,82827,40717
2009/8/21,10937,5359,8947,4752,29122,12593,16050,6614,17771,11399,82827,40717
2009/8/22,10937,5359,8947,4752,29122,12593,16050,6614,17771,11399,82827,40717
2009/8/23,10937,5359,8947,4752,29122,12593,16050,6614,17771,11399,82827,40717
2009/8/24,10937,5359,8947,4752,29122,12593,16050,6614,17771,11399,82827,40717
2009/8/25,10937,5359,8947,4752,29122,12593,16050,6614,17771,11399,82827,40717
2009/8/26,10937,5359,8947,4752,29122,12593,16050,6614,17771,11399,82827,40717
2009/8/27,10937,5359,8947,4752,29122,12593,16050,6614,17771,11399,82827,40717
