,Saitama_m,Tiba_m,Tokyo_m,Kanagawa_m,Osaka_m,Total_m
0,3530,3239,8335,4914,4515,24533
1,3530,3239,8335,4914,4515,24533
2,3530,3239,8335,4914,4515,24533
3,3530,3239,8335,4914,4515,24533
4,3530,3239,8335,4914,4515,24533
5,3530,3239,8335,4914,4515,24533
6,3530,3239,8335,4914,4515,24533
7,3530,3239,8335,4914,4515,24533
8,3530,3239,8335,4914,4515,24533
9,3530,3239,8335,4914,4515,24533
10,3530,3239,8335,4914,4515,24533
11,3530,3239,8335,4914,4515,24533
12,3530,3239,8335,4914,4515,24533
13,3530,3239,8335,4914,4515,24533
14,3530,3239,8335,4914,4515,24533
15,3530,3239,8335,4914,4515,24533
16,3530,3239,8335,4914,4515,24533
17,3530,3239,8335,4914,4515,24533
18,3530,3239,8335,4914,4515,24533
19,3530,3239,8335,4914,4515,24533
20,3530,3239,8335,4914,4515,24533
21,3530,3239,8335,4914,4515,24533
22,3530,3239,8335,4914,4515,24533
23,3530,3239,8335,4914,4515,24533
24,3530,3239,8335,4914,4515,24533
25,3530,3239,8335,4914,4515,24533
26,3530,3239,8335,4914,4515,24533
27,3530,3239,8335,4914,4515,24533
28,3530,3239,8335,4914,4515,24533
29,3530,3239,8335,4914,4515,24533
30,3530,3239,8335,4914,4515,24533
31,3067,2518,7027,4308,3815,20735
32,3067,2518,7027,4308,3815,20735
33,3067,2518,7027,4308,3815,20735
34,3067,2518,7027,4308,3815,20735
35,3067,2518,7027,4308,3815,20735
36,3067,2518,7027,4308,3815,20735
37,3067,2518,7027,4308,3815,20735
38,3067,2518,7027,4308,3815,20735
39,3067,2518,7027,4308,3815,20735
40,3067,2518,7027,4308,3815,20735
41,3067,2518,7027,4308,3815,20735
42,3067,2518,7027,4308,3815,20735
43,3067,2518,7027,4308,3815,20735
44,3067,2518,7027,4308,3815,20735
45,3067,2518,7027,4308,3815,20735
46,3067,2518,7027,4308,3815,20735
47,3067,2518,7027,4308,3815,20735
48,3067,2518,7027,4308,3815,20735
49,3067,2518,7027,4308,3815,20735
50,3067,2518,7027,4308,3815,20735
51,3067,2518,7027,4308,3815,20735
52,3067,2518,7027,4308,3815,20735
53,3067,2518,7027,4308,3815,20735
54,3067,2518,7027,4308,3815,20735
55,3067,2518,7027,4308,3815,20735
56,3067,2518,7027,4308,3815,20735
57,3067,2518,7027,4308,3815,20735
58,3067,2518,7027,4308,3815,20735
59,3067,2518,7027,4308,3815,20735
60,3067,2518,7027,4308,3815,20735
61,3067,2518,7027,4308,3815,20735
62,2585,2434,6166,3790,3513,18488
63,2585,2434,6166,3790,3513,18488
64,2585,2434,6166,3790,3513,18488
65,2585,2434,6166,3790,3513,18488
66,2585,2434,6166,3790,3513,18488
67,2585,2434,6166,3790,3513,18488
68,2585,2434,6166,3790,3513,18488
69,2585,2434,6166,3790,3513,18488
70,2585,2434,6166,3790,3513,18488
71,2585,2434,6166,3790,3513,18488
72,2585,2434,6166,3790,3513,18488
73,2585,2434,6166,3790,3513,18488
74,2585,2434,6166,3790,3513,18488
75,2585,2434,6166,3790,3513,18488
76,2585,2434,6166,3790,3513,18488
77,2585,2434,6166,3790,3513,18488
78,2585,2434,6166,3790,3513,18488
79,2585,2434,6166,3790,3513,18488
80,2585,2434,6166,3790,3513,18488
81,2585,2434,6166,3790,3513,18488
82,2585,2434,6166,3790,3513,18488
83,2585,2434,6166,3790,3513,18488
84,2585,2434,6166,3790,3513,18488
85,2585,2434,6166,3790,3513,18488
86,2585,2434,6166,3790,3513,18488
87,2585,2434,6166,3790,3513,18488
88,2585,2434,6166,3790,3513,18488
89,2585,2434,6166,3790,3513,18488
90,2585,2434,6166,3790,3513,18488
91,2585,2434,6166,3790,3513,18488
92,3051,2829,7019,4288,3993,21180
93,3051,2829,7019,4288,3993,21180
94,3051,2829,7019,4288,3993,21180
95,3051,2829,7019,4288,3993,21180
96,3051,2829,7019,4288,3993,21180
97,3051,2829,7019,4288,3993,21180
98,3051,2829,7019,4288,3993,21180
99,3051,2829,7019,4288,3993,21180
100,3051,2829,7019,4288,3993,21180
101,3051,2829,7019,4288,3993,21180
102,3051,2829,7019,4288,3993,21180
103,3051,2829,7019,4288,3993,21180
104,3051,2829,7019,4288,3993,21180
105,3051,2829,7019,4288,3993,21180
106,3051,2829,7019,4288,3993,21180
107,3051,2829,7019,4288,3993,21180
108,3051,2829,7019,4288,3993,21180
109,3051,2829,7019,4288,3993,21180
110,3051,2829,7019,4288,3993,21180
111,3051,2829,7019,4288,3993,21180
112,3051,2829,7019,4288,3993,21180
113,3051,2829,7019,4288,3993,21180
114,3051,2829,7019,4288,3993,21180
115,3051,2829,7019,4288,3993,21180
116,3051,2829,7019,4288,3993,21180
117,3051,2829,7019,4288,3993,21180
118,3051,2829,7019,4288,3993,21180
119,3051,2829,7019,4288,3993,21180
120,3051,2829,7019,4288,3993,21180
121,3051,2829,7019,4288,3993,21180
122,3051,2829,7019,4288,3993,21180
123,4004,3589,9575,5602,5523,28293
124,4004,3589,9575,5602,5523,28293
125,4004,3589,9575,5602,5523,28293
126,4004,3589,9575,5602,5523,28293
127,4004,3589,9575,5602,5523,28293
128,4004,3589,9575,5602,5523,28293
129,4004,3589,9575,5602,5523,28293
130,4004,3589,9575,5602,5523,28293
131,4004,3589,9575,5602,5523,28293
132,4004,3589,9575,5602,5523,28293
133,4004,3589,9575,5602,5523,28293
134,4004,3589,9575,5602,5523,28293
135,4004,3589,9575,5602,5523,28293
136,4004,3589,9575,5602,5523,28293
137,4004,3589,9575,5602,5523,28293
138,4004,3589,9575,5602,5523,28293
139,4004,3589,9575,5602,5523,28293
140,4004,3589,9575,5602,5523,28293
141,4004,3589,9575,5602,5523,28293
142,4004,3589,9575,5602,5523,28293
143,4004,3589,9575,5602,5523,28293
